Symbol	Close	High	Low	Avg3RSI2	Sma200	Sma5	Lbbrange	Lbbslope	Lbbnegslopedur	RSI1	RSI2	RSI3	Lowrsidays	LastUpdated	CD1	CD2	CD3	CD4	CD5	Avggain	Avgloss	Avgvolume	Last4
NELCO	87.85	91.2	87.1	58.170104	24.06175299	-0.8309618668	43.27501631	-1.176451689	0	36.76914581	45.52899698	92.2121692	2	1/14/2015	1.125492403	4.564983888	-7.942028986	0.6908462867	-1.223776224	0.9555312622	1.643199932	179351.6316	87.85/88.85/93.1/86.25/86.85
TWL	309.45	314.5	307	58.22757046	22.10001616	-0.3231539829	39.6024951	-2.927362596	0	37.31157134	57.2395803	80.13155974	6	1/14/2015	0.689987163	0.7327174259	-2.064704926	0.7102502018	-3.57799699	1.152085033	1.935656896	162048.4737	309.45/311.6/313.9/307.55/309.75
ADANIPOWER	45.5	46.2	45.2	58.23882557	-12.41263736	-0.1758241758	47.23842241	-1.761020062	0	45.87745799	43.86320239	84.97581633	4	1/14/2015	-0.1100110011	2.780748663	-4.469273743	1.540154015	-2.944507361	0.3196483083	0.3770954137	3613834.842	45.5/45.45/46.75/44.75/45.45
CENTURYPLY	165.95	170.05	165.1	58.28166499	42.5712564	-1.10274179	30.15459836	-6.575590104	0	29.06368061	55.11369276	90.66762161	4	1/14/2015	1.425601426	1.232032854	-0.7090103397	-2.637962401	-6.352789423	0.7378760918	1.800949261	438190.1053	165.95/168.35/170.45/169.25/164.9
ORIENTHOT	24.1	24.5	23	58.3158525	8.369294606	0	68.0724349	-0.1755513667	0	79.52541903	60.01937178	35.4027667	2	1/14/2015	-1.048218029	-0.8456659619	0.4210526316	2.06185567	-2.105263158	0.2037493919	0.05245723284	12430.42105	24.1/23.85/23.65/23.75/24.25
ELECTCAST	18.6	18.95	18.5	58.42323	-32.68682796	0	58.83883476	-0.5017303491	0	55.63606791	82.09272141	37.5409007	7	1/14/2015	0.5347593583	-1.630434783	0	1.340482574	-1.634877384	0.08631696792	0.06882873372	394370.6842	18.6/18.7/18.4/18.4/18.65
JKPAPER	31.55	32.1	31.3	58.55133978	-2.480190174	-0.412044374	33.90023435	-1.77278466	0	30.25369123	80.98955891	64.41076921	6	1/14/2015	1.40625	-0.7874015748	-0.4746835443	-0.3174603175	-1.941747573	0.1086612833	0.2505057436	90518.36842	31.55/32.0/31.75/31.6/31.5
SUBROS	68.05	71.45	67.7	58.88628612	24.1241734	-1.513592946	35.90125401	-2.72486489	0	23.28260656	59.76356964	93.61268216	5	1/14/2015	2.785714286	1.269393512	-1.213418986	-5.496987952	-1.374045802	0.3718831063	1.225374079	54371.10526	68.05/70.0/70.9/70.05/66.4
LT	1518	1534.1	1500	59.04272437	-0.383201581	0	53.18688428	-0.4728218317	0	46.06097855	49.71638121	81.35081334	8	1/14/2015	0.09871668312	0.9581540868	-2.262956174	0.6489851329	-0.6364545152	4.698494354	5.502101686	1411228.263	1518.0/1519.5/1534.2/1500.25/1510.05
KABRAEXTRU	95.2	101	92.8	59.09369262	34.72111345	0	52.92498789	-7.02325848	0	55.34495403	55.34495403	66.59116978	4	1/14/2015	0	1.090909091	3.169014085	-13.79507728	-3.007075472	0.8602359178	0.694080881	54630.36842	95.2/95.2/96.25/99.4/87.35
HAVELLS	270.85	274.9	268.1	59.0989499	-161.5672882	0	57.98395973	-0.5238739735	0	40.65695983	64.98510619	71.65478369	8	1/12/2015	0.8238740388	0.2556610665	-2.835680751	-1.370645346	5.453563715	1.221777818	1.783311159	3391581.8	270.85/273.1/273.8/266.25/262.65
MCX	850.65	863.7	845.6	59.13093956	14.63613119	-0.3750073473	40.22377146	0.1503717857	2	29.73666182	76.50503256	71.15112428	3	1/14/2015	1.448183977	-0.3429435015	-2.094831167	1.184542309	0.2748538012	3.040254884	7.183673081	497863.1053	850.65/863.15/860.2/842.55/852.65
MMTC	58.7	61.6	58.35	59.48640684	-20.89054514	0	65.88736379	-1.485752914	0	57.12331709	86.86191099	34.47399244	7	1/14/2015	1.178451178	-3.755458515	0.4347826087	0.5190311419	-2.3914969	0.5839698325	0.4383269497	844291.4737	58.7/59.4/57.25/57.5/57.8
JMFINANCIL	47	47.5	46.1	59.64337818	16.33297872	0	54.03786427	-2.842444055	0	57.90928306	48.82699894	72.19385253	6	1/14/2015	-0.2132196162	0.6355932203	-1.070663812	0.7438894793	-3.406593407	0.163141329	0.1185774567	536341	47.0/46.9/47.2/46.7/47.05
NITINSPIN	29.35	30.7	29.25	59.74816222	19.97103918	-1.601362862	26.8784097	-2.173839165	0	24.04809261	58.96745656	96.22893749	3	1/14/2015	2.491694352	1.31147541	-2.177554439	-1.877133106	-2.447552448	0.152285297	0.4809678241	63728.31579	29.35/30.1/30.5/29.85/29.3
BSLIMITED	21.9	22.85	21.75	59.84561232	-20.93378995	-0.6849315068	44.97198858	-1.788850571	0	35.7630918	46.44661676	97.32712841	8	1/14/2015	1.351351351	4.516129032	-7.88863109	-0.9367681499	-0.9456264775	0.2332200223	0.4189048656	576040.3684	21.9/22.2/23.25/21.55/21.35
GITANJALI	53.25	55.4	52.8	59.95858639	-26.96384977	-1.126760563	29.17369596	0.4676943514	1	28.39061862	83.90804303	67.5770975	4	1/14/2015	3.005464481	-1.572617946	-1.789077213	1.575532901	-0.3720930233	0.3539998571	0.8928903984	465667.5263	53.25/54.9/54.05/53.1/53.95
ECLERX	1306.35	1314	1288	60.13771065	4.69701841	-0.08496957171	36.90651668	-2.769787868	0	55.62602335	66.79346982	57.99363877	5	1/14/2015	0.0879541109	-0.1838939545	0.1873733318	0.2479401892	-3.070572046	1.913048516	1.526076557	11623.36842	1306.35/1307.5/1305.1/1307.55/1310.8
GOACARBON	83.95	86.5	83.55	60.19108632	1.05241215	-0.4526503871	37.14042152	-2.087087634	0	35.09895669	79.95475267	65.51954959	6	1/14/2015	1.697892272	-1.124925992	-1.258992806	1.243339254	-3.239608802	0.4535842128	0.838716914	127987.4211	83.95/85.4/84.45/83.4/84.45
HEG	231.85	238.55	231.05	60.26613191	-13.18309252	-1.065343972	27.63510412	-1.634671946	0	23.31386972	76.5627193	80.92180672	4	1/14/2015	2.234872444	0.1053074979	-2.371711945	0.6000857265	-2.617110183	0.8883157445	2.921930068	37466.36842	231.85/237.15/237.4/231.9/233.3
DHAMPURSUG	44.5	45.45	44	60.32261419	-13.59213483	-0.3820224719	45.19781675	-0.867870977	0	35.08252647	49.18614664	96.69916946	5	1/14/2015	1.001112347	2.388707926	-4.659090909	-0.3420752566	-0.3432494279	0.2752869199	0.5093969315	81344.89474	44.5/44.95/46.05/44.0/43.85
TATAGLOBAL	154.85	157	153.8	60.33703472	-0.8501775912	-0.3228931224	40.58111466	-3.682827054	0	40.20025433	47.67532726	93.13552258	7	1/14/2015	0.2576489533	1.334604385	-1.124678663	-1.236174366	-3.536544291	0.512787045	0.7627945492	2163038	154.85/155.25/157.35/155.6/153.7
BANKBARODA	1075.05	1087	1068	60.36845796	15.82000837	0	50.32465078	-0.3027569705	0	41.79733502	71.00682952	68.30120934	5	1/14/2015	0.6055843195	-0.1481481481	-1.843556981	1.591499629	-1.021843067	3.32763725	4.633724995	779268.3158	1075.05/1081.6/1080.0/1060.45/1077.6
GAEL	51.7	53	50.3	60.5115283	8.692940039	-0.251450677	46.20136277	-1.56731908	0	44.1823172	44.1823172	93.16995049	3	1/14/2015	0	3.001876173	-4	-0.09765625	-1.789264414	0.3361227339	0.4246402934	45099.52632	51.7/51.7/53.3/51.25/51.2
KEC	91.55	94	91.45	60.54923669	-11.75341344	-0.7864554888	28.97933412	-0.4754724769	0	27.60797814	80.1203103	73.91942161	5	1/14/2015	1.928227102	-0.4843918192	-1.696770662	0.9219088937	-1.374381528	0.3791040535	0.9940644254	456163.5263	91.55/93.35/92.9/91.35/92.2
HOCL	22.4	23.4	22.25	60.60176438	12.17299107	0	55.97614305	-3.388918049	0	69.37513087	56.21508114	56.21508114	4	1/14/2015	-0.2237136465	0	0.4454342984	-0.2232142857	-3.464203233	0.05770465422	0.02547306883	96041	22.4/22.35/22.35/22.45/22.4
HINDMOTORS	7.9	8.05	7.8	60.6069514	-9.370253165	0	63.48399725	-1.710784958	0	61.08937934	46.87090562	73.86056925	5	1/14/2015	-0.6369426752	1.257861635	-2.580645161	1.27388535	-2.614379085	0.05706701479	0.03634859264	131363.3158	7.9/7.85/7.95/7.75/7.85
SUNPHARMA	820.65	837.75	817	60.67811743	9.458904527	-0.8444525681	26.70679689	-1.104440798	0	19.48111376	70.61586808	91.93737046	5	1/14/2015	1.494418437	0.2633784269	-0.6324920186	-1.373961895	-1.111385527	1.674708663	6.921866889	1441079.15	820.65/833.1/835.3/830.05/818.8
HELIOSMATH	82.8	84.15	82.5	60.68236852	-13.12047101	0	61.24521847	-1.6546568	0	65.56029583	68.05506928	48.43174045	8	1/14/2015	0.06035003018	-1.221747098	-0.8004926108	2.579484103	-3.927680798	0.4471057774	0.2348706715	158511.7368	82.8/82.85/81.85/81.2/83.35
POLYPLEX	212.1	216.7	211	60.79318114	-0.05881659595	-0.5563413484	39.66707613	-1.945899748	0	28.50971948	68.4454867	85.42433724	5	1/14/2015	1.71455051	0.4842056721	-2.772511848	-0.1661523855	-2.083838139	0.9039563426	2.266738982	41629.10526	212.1/215.8/216.85/211.0/210.65
INDOWIND	5.05	5.1	4.8	60.79749518	5.811881188	0	76.06233457	-3.100401047	0	79.69897221	60.46822364	42.22528967	6	1/14/2015	-3.06122449	-2.083333333	4.95049505	-4.12371134	-4.301075269	0.1228751679	0.03129892555	57046.52632	5.05/4.9/4.8/5.05/4.85
CEBBCO	21.9	22.8	21.55	60.8351997	16.91324201	-0.1369863014	46.82357338	0.06655976261	1	40.24420773	83.73781616	58.52357521	6	1/14/2015	1.793721973	-2.059496568	-0.9237875289	1.366742597	0.9029345372	0.154963554	0.2300944773	83806.47368	21.9/22.3/21.85/21.65/21.95
SPARC	201.15	204.7	199	61.05590942	12.18605518	-0.541884166	41.8215541	-4.400411145	0	40.13089967	47.50026748	95.53656112	3	1/14/2015	0.5192878338	2.765087761	-4.131196795	0.2497502498	-5.202312139	1.358013296	2.025945965	451388.6842	201.15/202.2/207.95/199.7/200.2
ORIENTABRA	22.95	23.45	22.85	61.12684036	7.483660131	0	64.09004655	0.005118000179	1	61.15550088	33.57599497	88.64902525	7	1/14/2015	-0.8791208791	1.515151515	-1.538461538	0	0.6550218341	0.1472902854	0.09355523676	24485.68421	22.95/22.75/23.1/22.75/22.75
OILCOUNTUB	35.2	36.45	35	61.16739568	-33.91619318	-0.02840909091	45.43564535	-1.806831145	0	44.66228055	75.90016437	62.93974211	4	1/14/2015	0.283286119	-0.2840909091	0	-0.1422475107	-1.736613603	0.05425902816	0.06722833766	15795.78947	35.2/35.3/35.2/35.2/35.15
ROHITFERRO	8.3	8.5	8.05	61.23373591	-22.1746988	0	62.5	-1.851758873	0	60.49339307	39.92796063	83.27985401	5	1/14/2015	-1.219512195	2.380952381	-3.067484663	0.6097560976	-2.5	0.08835120537	0.05769979439	162535.2105	8.3/8.2/8.4/8.15/8.2
NILKAMAL	457.85	475.95	453	61.25927076	27.31822649	-1.085508354	28.50341195	-0.9208492656	0	29.89434988	91.74251437	62.14094804	4	1/14/2015	3.162013536	-2.448537378	-0.2498099272	0.270797227	-2.044876755	3.314699276	7.773346757	113731.7	457.85/472.8/461.5/460.35/461.6
MANGCHEFER	90.45	90.5	89.75	61.39061386	15.36760641	0	64.22136389	-0.2073475972	0	67.33499204	29.33800144	87.49884809	4	1/14/2015	-0.3884572697	0.4419889503	0	-0.4439511654	-0.1667593107	0.219136932	0.1063059401	198404.1579	90.45/90.1/90.5/90.5/90.1
VOLTAS	247.75	248.5	241.6	61.3961077	11.70706357	0	80.04140369	-5.634937799	0	74.79152309	34.43075318	74.96604684	3	1/14/2015	-2.354885354	1.565677105	0.0406504065	-1.088966509	-6.057964698	3.462884372	1.167164902	2216995.211	247.75/242.05/245.9/246.0/243.35
VIKASGLOB	8.05	8.9	7.5	61.50982568	-283.3540373	0	68.78097564	-2.205588012	0	62.29781162	95.93125555	26.30040989	7	1/14/2015	4.733727811	-19.85815603	0.7042253521	1.388888889	-2.127659574	0.3553788484	0.215072728	426082	8.05/8.45/7.05/7.1/7.2
REDINGTON	133.65	136	132	61.55674139	24.06397306	0	51.56556073	-2.559953307	0	48.02789952	46.9262116	89.71611303	2	1/14/2015	-0.0374251497	1.656238498	-2.489626556	-0.3026863413	-2.640776699	0.5784357184	0.6259386642	1235076.421	133.65/133.6/135.85/132.55/132.15
RENUKA	15.7	16.25	15.55	61.780284	-31.38694268	-0.9554140127	35.56624327	-0.8025146135	0	25.30040829	64.22589259	95.81455111	8	1/14/2015	2.180685358	0.9259259259	-3.184713376	-0.641025641	-0.6451612903	0.0730536135	0.2156911872	3738386.526	15.7/16.05/16.2/15.7/15.6
DHANUKA	532.3	554.9	529	61.95801099	20.3338343	-1.461581815	21.40810946	-2.542596107	0	21.31135254	82.66974685	81.89293358	4	1/14/2015	2.758494702	-0.08227443094	-2.119118745	0.4738455821	-3.869909284	2.167856779	8.004452907	14262.47368	532.3/547.4/546.95/535.6/538.15
ROLTA	102	104.65	100.4	61.96238323	1.120588235	-0.7647058824	13.99062356	-4.032151139	0	34.12411033	73.5048505	78.25818884	9	1/14/2015	0.9227780476	0.09704027171	-0.5365853659	0.8704061896	-5.24173028	0.3025429737	0.5840529572	628615.7368	102.0/102.95/103.05/102.5/103.4
TALBROAUTO	108.05	115.4	107.1	62.08204806	19.33387321	-1.036557149	46.63948715	-3.385800303	0	35.02869031	56.53460234	94.68285152	4	1/14/2015	4.927408711	6.074380165	-19.98016857	1.417399804	-1.337295691	2.578329441	4.782292433	66838.57895	108.05/113.65/121.0/100.85/102.3
NRBBEARING	135.35	139.9	134.05	62.11347122	25.21906169	-0.2216475803	46.16078128	-1.83258274	0	35.89419131	58.28438571	92.16183664	5	1/14/2015	1.023765996	1.192196532	-3.206562267	-0.3367003367	-1.712328767	0.6540584675	1.168126247	58613.10526	135.35/136.75/138.4/134.1/133.65
COREEDUTEC	12.7	13.3	12.4	62.3143319	0.02559055118	-1.653543307	37.76918055	-20.34887415	0	40.42114396	49.03184717	97.49000456	10	1/14/2015	1.167315175	5.166051661	-3.831417625	-5.241935484	-19.23076923	0.1726273079	0.2544444942	582632.9474	12.7/12.85/13.55/13.05/12.4
WSTCSTPAPR	58.6	59.5	55.3	62.4101112	0.4010238908	0	93.63859106	2.84460851	2	88.70778464	32.15192587	66.3706231	9	1/14/2015	-6.15942029	1.252236136	-1.359927471	0.8984725966	-0.6329113924	1.809133344	0.2302968497	60271.31579	58.6/55.2/55.9/55.15/55.65
